genres,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,title_year,imdb_score
Action|Adventure|Fantasy|Sci-Fi,Avatar ,886204,4834,avatar|future|marine|native|paraplegic,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,2009,7.9
Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End ,471220,48350,goddess|marriage ceremony|marriage proposal|pirate|singapore,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,2007,7.1
Action|Adventure|Thriller,Spectre ,275868,11700,bomb|espionage|sequel|spy|terrorist,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,2015,6.8
Action|Thriller,The Dark Knight Rises ,1144337,106759,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,2012,8.5
Documentary,Star Wars: Episode VII - The Force Awakens             ,8,143,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,7.1
Action|Adventure|Sci-Fi,John Carter ,212204,1873,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,2012,6.6
Action|Adventure|Romance,Spider-Man 3 ,383056,46055,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,2007,6.2
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled ,294810,2036,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,2010,7.8
Action|Adventure|Sci-Fi,Avengers: Age of Ultron ,462669,92000,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,2015,7.5
Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince ,321795,58753,blood|book|love|potion|professor,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,2009,7.5
